fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,precio_venta,Amazon,Decathlon,Deporvillage,Año,dif_amazon_pct,dif_decathlon_pct,dif_deporvillage_pct,es_black_friday,es_cyber_monday,es_festivo
2025-11-01,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,81.78,117.08,102.97,2025,40.62117877231597,-1.7765630338230258,11.68301447023405,False,False,True
2025-11-02,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,86.36,110.03,96.83,2025,33.163501621120886,4.51694992274834,18.764845605700714,False,False,False
2025-11-03,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,80.95,111.73,105.86,2025,42.063001852995676,2.92669829052179,8.634044965048178,False,False,False
2025-11-04,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,89.83,120.46,106.37,2025,28.019592563731493,-4.532624937738664,8.113189809156712,False,False,False
2025-11-05,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,88.32,114.45,98.06,2025,30.208333333333343,0.48055919615552395,17.275137670813784,False,False,False
2025-11-06,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,95.91,119.89,93.57,2025,19.904076738609117,-4.078738843940279,22.902639734957795,False,False,False
2025-11-07,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,87.44,108.78,103.82,2025,31.518755718206776,5.717962860820003,10.768638027355044,False,False,False
2025-11-08,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,88.92,110.37,106.09,2025,29.329734592892486,4.194980520068855,8.398529550381747,False,False,False
2025-11-09,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,87.49,117.96,99.82,2025,31.443593553548986,-2.5093251949813444,15.20737327188941,False,False,False
2025-11-10,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,83.89,112.42,103.57,2025,37.08427702944332,2.2949653086639374,11.03601428985228,False,False,False
2025-11-11,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,86.17,115.98,97.15,2025,33.457119647209005,-0.8449732712536678,18.373648996397314,False,False,False
2025-11-12,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,95.91,109.73,97.08,2025,19.904076738609117,4.8026975303016455,18.459002884219203,False,False,False
2025-11-13,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,92.67,105.39,98.33,2025,24.096255530376602,9.118512192807666,16.95311705481542,False,False,False
2025-11-14,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,95.91,123.88,100.14,2025,19.904076738609117,-7.168227316758149,14.839225084881166,False,False,False
2025-11-15,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,87.26,103.16,100.97,2025,31.790052716021076,11.47731678945328,13.895216400911162,False,False,False
2025-11-16,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,84.42,115.38,100.85,2025,36.22364368633025,-0.3293465071936172,14.03073872087259,False,False,False
2025-11-17,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,115.0,88.27,110.02,94.07,2025,30.282089044975645,4.526449736411566,22.249388753056245,False,False,False
