fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,precio_venta,ingresos,Amazon,Decathlon,Deporvillage,mes,Año,dif_amazon_pct,dif_decathlon_pct,dif_deporvillage_pct
2024-11-01,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,15,118.32,1774.8,90.71,119.96,105.26,2024-11,2024,30.437658472053798,-1.3671223741247087,12.407372221166623
2024-11-01,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,19,132.9,2525.1,127.14,121.82,133.19,2024-11,2024,4.5304388862671106,9.095386636020368,-0.21773406411892188
2024-11-01,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,3,83.37,250.11,90.77,75.46,84.37,2024-11,2024,-8.152473284124701,10.482374768089068,-1.185255422543558
2024-11-01,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,4,72.97,291.88,80.63,67.96,74.92,2024-11,2024,-9.500186034974572,7.371983519717489,-2.602776294714366
2024-11-01,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,3,34.56,103.68,34.13,31.66,33.89,2024-11,2024,1.25988866100205,9.159823120656988,1.9769843611684914
2024-11-01,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,3,65.56,196.68,64.19,60.81,67.59,2024-11,2024,2.134288830035838,7.811215260647919,-3.003402870247079
2024-11-01,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,3,68.26,204.78,70.32,63.83,66.91,2024-11,2024,-2.929465301478937,6.940310198966014,2.017635629950693
2024-11-01,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,3,64.98,194.94,65.35,62.66,61.94,2024-11,2024,-0.5661820964039639,3.702521544845208,4.90797546012271
2024-11-01,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,3,410.42,1231.26,399.51,361.07,378.67,2024-11,2024,2.7308452854747127,13.667709862353567,8.384609290411175
2024-11-01,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,3,178.06,534.18,193.15,166.39,180.35,2024-11,2024,-7.812580895676937,7.013642646793687,-1.2697532575547503
2024-11-01,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,4,43.82,175.28,47.17,41.52,45.9,2024-11,2024,-7.101971592113634,5.539499036608856,-4.531590413943352
2024-11-01,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,5,54.05,270.25,53.11,50.69,55.93,2024-11,2024,1.7699115044247746,6.628526336555534,-3.361344537815131
2024-11-01,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,4,25.05,100.2,26.36,22.5,24.27,2024-11,2024,-4.9696509863429394,11.333333333333337,3.2138442521631694
2024-11-01,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,5,39.78,198.9,39.81,36.56,40.55,2024-11,2024,-0.07535795026375568,8.807439824945291,-1.898890258939571
2024-11-01,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,5,146.07,730.35,148.87,162.37,143.18,2024-11,2024,-1.8808356284006253,-10.038800270986027,2.0184383293756016
2024-11-01,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,4,845.85,3383.4,810.81,791.28,834.87,2024-11,2024,4.321604321604331,6.896420988777684,1.315174817636281
2024-11-01,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,2,93.89,187.78,94.81,85.29,96.23,2024-11,2024,-0.9703617761839487,10.083245398053691,-2.431674114101635
2024-11-01,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,2,69.35,138.7,65.03,64.77,74.12,2024-11,2024,6.64308780562816,7.071174926663576,-6.435509983810052
2024-11-01,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,3,111.02,333.06,117.15,106.35,116.27,2024-11,2024,-5.232607767819044,4.391161259990599,-4.515352197471403
2024-11-01,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2,79.78,159.56,88.05,73.58,80.54,2024-11,2024,-9.392390687109593,8.426202772492529,-0.9436304941643967
2024-11-01,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,6,132.16,792.96,140.25,122.67,134.57,2024-11,2024,-5.768270944741535,7.7362028205755236,-1.7908894998885312
2024-11-01,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,2,20.17,40.34,20.77,18.47,19.73,2024-11,2024,-2.888781896966769,9.204114780725517,2.230106436898131
2024-11-01,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1,35.23,35.23,33.86,32.67,35.27,2024-11,2024,4.046072061429408,7.835935108662366,-0.11341083073435285
